Year,Annual_Discharge
1960,72
1961,156
1962,68.8
1963,31.9
1964,54
1965,24.8
1966,76.3
1967,17.4
1968,113.3
1969,141.8
1970,27.9
1971,6.36
1972,39.8
1973,148.4
1974,165
1975,171.7
1976,49
1977,42.4
1978,74.4
1979,190.6
1980,86.1
1981,23.9
1982,53.2
1983,171.3
1984,106.3
1985,64
